ip.dsfield,ip.dsfield.dscp,ip.len,ip.id,ip.flags,ip.flags.df,ip.ttl,tcp.srcport,tcp.dstport,tcp.port,tcp.stream,tcp.completeness,tcp.len,tcp.seq,tcp.seq_raw,tcp.nxtseq,tcp.ack,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size_value,tcp.window_size,tcp.checksum,tcp.time_relative,tcp.time_delta,device_category
-0.094395822,-0.094395822,-0.115074707,1.277971554,-2.284019916,-2.284019916,-0.340573361,1.532912126,-1.068560488,1.532912126,-0.330548342,0.126839832,-0.096102974,1.236787125,1.236787125,1.2367871,-0.9560196,-0.9560196,-0.85857503,1.06210071,0.268311122,1.373203755,-0.107851053,-0.349133807,-0.332378932,0.216797404,-0.44166001,-0.541111143,-0.041590449,-0.127557368,Aria
-0.094395822,-0.094395822,-0.04709235,1.279336807,-2.284019916,-2.284019916,-0.340573361,0.637988653,-1.068560488,0.637988653,-0.289369569,0.126839832,-0.028095658,1.238180146,1.238180146,1.238180138,1.501954531,1.501954531,-0.85857503,1.06210071,0.268311122,1.373203755,-0.107851053,-0.349133807,-0.332378932,0.216797404,-0.44166001,1.309393348,-0.041590502,-0.127403677,Aria
-0.094395822,-0.094395822,-0.361106094,1.277877399,-2.284019916,-2.284019916,-0.340573361,1.532912126,-1.068560488,1.532912126,-0.330548342,-1.520176072,-0.406993565,1.236787124,1.236787124,1.236787026,-1.433964658,-1.433964658,2.066058887,-2.871715999,-3.726395409,-0.728102679,-0.107851053,2.863753989,-0.332378932,0.123821372,-0.493997201,1.342737218,-0.041590618,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,1.494387643,0.437751583,0.437751583,-0.516014282,-1.115655547,1.569251623,-1.115655547,-0.355889125,2.009143722,-0.406993565,-1.351550719,-1.351550719,-1.351550812,1.192581671,1.192581671,-0.85857503,-0.189568243,0.268311122,-0.728102679,-0.107851053,-0.349133807,3.008112844,-0.704449677,0.637175332,-1.066156669,-0.041583096,-0.127344308,Aria
-0.094395822,-0.094395822,-0.425851196,1.279195574,-2.284019916,-2.284019916,-0.340573361,1.532912126,-1.068560488,1.532912126,-0.305207559,2.009143722,-0.406993565,1.23800331,1.23800331,1.238003211,1.242065412,1.242065412,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,0.099046895,-0.507943016,-1.270287518,-0.041583459,-0.127141652,Aria
-0.094395822,-0.094395822,1.532688138,-0.439751711,0.437751583,0.437751583,-0.516014282,-1.115655547,1.569251623,-1.115655547,-0.267196384,0.126839832,1.552264843,-1.289807235,-1.289807235,-1.289806865,1.192059268,1.192059268,-0.85857503,1.06210071,0.268311122,1.373203755,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,0.426075167,-0.041586206,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,1.279148496,-2.284019916,-2.284019916,-0.340573361,1.532912126,-1.068560488,1.532912126,-0.336883538,2.009143722,-0.406993565,1.236783376,1.236783376,1.236783277,-0.193969892,-0.193969892,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,0.099046895,-0.507943016,0.436404809,-0.041581159,-0.127137213,Aria
-0.094395822,-0.094395822,-0.331970799,1.279572195,-2.284019916,-2.284019916,-0.340573361,1.291869188,-1.068560488,1.291869188,-0.283034374,-0.814312113,-0.313078699,1.236981734,1.236981734,1.236981658,-0.267647101,-0.267647101,-0.85857503,1.06210071,0.268311122,1.373203755,-0.107851053,-0.349133807,-0.332378932,0.216797404,-0.44166001,1.490724056,-0.041590529,-0.127429616,Aria
-0.094395822,-0.094395822,-0.399953156,-1.072099092,0.437751583,0.437751583,-0.516014282,-1.115655547,0.813884062,-1.115655547,-0.33371594,-1.284888086,-0.406993565,0.792138119,0.792138119,0.792138022,1.192198168,1.192198168,0.311278537,-0.010758393,0.268311122,-0.728102679,-0.107851053,2.863753989,-0.332378932,2.085883477,0.610468288,0.133955036,-0.041590596,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,0.299132457,0.437751583,0.437751583,-0.516014282,-1.115655547,1.329187536,-1.115655547,-0.283034374,0.126839832,-0.406993565,-0.351454929,-0.351454929,-0.351455025,1.192238253,1.192238253,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,0.053779889,-0.041590434,-0.127557368,Aria
-0.094395822,-0.094395822,-0.157159023,1.279289729,-2.284019916,-2.284019916,-0.340573361,1.532912126,-1.068560488,1.532912126,-0.286201972,0.126839832,-0.138202742,1.236782187,1.236782187,1.236782152,0.64128983,0.64128983,-0.85857503,1.06210071,0.268311122,1.373203755,-0.107851053,-0.349133807,-0.332378932,0.15892652,-0.474236142,-0.833873531,-0.041585914,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,1.23404808,0.437751583,0.437751583,-0.516014282,-1.115655547,1.569251623,-1.115655547,-0.324213146,0.126839832,-0.406993565,-0.784350921,-0.784350921,-0.784351017,1.193571323,1.193571323,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,-1.595965604,-0.041590407,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,1.299815597,0.437751583,0.437751583,-0.516014282,-1.115655547,1.569251623,-1.115655547,-0.286201972,0.126839832,-0.406993565,0.63751876,0.63751876,0.637518662,1.192054702,1.192054702,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,0.264012185,-0.041590431,-0.127521026,Aria
-0.094395822,-0.094395822,-0.425851196,-0.564366326,0.437751583,0.437751583,-0.516014282,-1.115655547,0.400249364,-1.115655547,-0.264028786,0.126839832,-0.406993565,-0.82514594,-0.82514594,-0.825146035,1.192242265,1.192242265,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,-0.862828641,-0.041590498,-0.127557368,Aria
-0.094395822,-0.094395822,-0.399953156,-1.072099092,0.437751583,0.437751583,-0.516014282,-1.115655547,0.838703821,-1.115655547,-0.308375157,-1.284888086,-0.406993565,0.090422633,0.090422633,0.090422537,1.192201148,1.192201148,0.311278537,-0.010758393,0.268311122,-0.728102679,-0.107851053,2.863753989,-0.332378932,2.085883477,0.610468288,0.418635684,-0.041590596,-0.127557368,Aria
-0.094395822,-0.094395822,-0.425851196,0.11025681,0.437751583,0.437751583,-0.516014282,-1.115655547,1.569251623,-1.115655547,-0.368559517,0.126839832,-0.406993565,-1.520255191,-1.520255191,-1.520255285,1.193160076,1.193160076,-0.85857503,-0.368378093,0.268311122,-0.728102679,-0.107851053,-0.349133807,-0.332378932,-0.704449677,0.637175332,0.385345335,-0.041590418,-0.127557368,Aria
